"id_parameter","parameter_name","description","parameter_no","uom","ischoice","isnumber","id_process"
1,Pass No,"",1,Number,false,true,1
2,Filler Material,"",2,"",true,false,1
3,Wire Diameter,"",3,"",true,false,1
4,Control Speed,"",10,Hz,false,true,1
5,Diameter Before Welding,"",5,mm,false,true,1
6,Pre heat,"",6,deg C,false,true,1
7,Gas Flowrate,"",7,lpm,false,true,1
8,Amperage,"",8,A,false,true,1
9,Voltage,"",9,V,false,true,1
10,Temperature After Welding,"",11,deg C,false,true,1
11,Diameter After Welding,"",12,mm,false,true,1
12,Lenght Welding,"",13,mm,false,true,1
13,Operator Note,"",14,"",false,false,1
14,Filler Material,"",1,"",true,false,2
15,Wire Diameter,"",3,"",true,false,2
16,Process Machining,"",1,"",true,false,3
17,Consumable Insert,Kode Consumable atau Type Insert,3,"",true,false,3
18,Speed Frekuensi,"",9,Hz,false,false,2
19,Dimension Before Machining,"",5,mm,false,true,3
20,Length Machining,"",4,mm,false,true,3
21,Diameter Before Welding,"",5,mm,false,true,2
22,Pre heat,"",6,deg C,false,true,2
23,Amperage,"",7,A,false,true,2
24,Voltage,"",8,V,false,true,2
25,Temperature After Welding,"",11,deg C,false,true,2
26,RPM (Spindle Speed),"",7,Rpm,false,true,3
27,Diameter After Welding Area 1,"",12,mm,false,true,2
28,Diameter After Welding Area 2,"",13,mm,false,true,2
29,Lenght Welding,"",14,mm,false,true,2
30,Feeding,"",8,mm/rev,false,true,3
31,Operator Note,"",15,"",false,false,2
32,Depth of Cut,Ketebalan Pemakanan,9,mm,false,true,3
33,Lubrication,"",10,"",true,false,3
34,Welding Process,"",1,"",true,false,4
35,Dimension After Machining,"",6,mm,false,true,3
36,Condition Material After Machining,"",12,"",true,false,3
37,Filler Material,"",2,"",true,false,4
38,Electrode Type,"",3,"",true,false,4
39,Wire Diameter,"",4,"",true,false,4
40,Position Welding,"",7,"",true,false,4
41,Pre heat,"",8,deg C,false,true,4
42,Gas Flowrate,"",9,lpm,false,true,4
43,Amperage,"",10,A,false,true,4
44,Voltage,"",11,V,false,true,4
45,Temperature After Welding,"",12,deg C,false,true,4
46,Treatment After Welding,"",13,"",true,false,4
47,Operator Note,"",14,"",false,false,4
48,Material Thickness,"",6,"",false,true,4
49,Operator Note,"",13,"",false,false,3
50,Plating Time (hours),"",1,Hours,false,true,6
51,Temperatur Plating (C),"",2,Celcius,false,true,6
52,Arus Plating (A),"",3,Ampere,false,true,6
53,Solving,"",8,"",true,false,6
54,Defect,"",7,"",true,false,6
55,Lenght (mm),"",1,mm,false,true,5
56,Top Spec (mm),"",2,mm,false,true,5
57,Spec Dia (mm),"",3,mm,false,true,5
