"id_processcontroldata_item","category_name","parameter_name","value","uom","ischoice","isnumber","status","note","id_parameter","id_processcontroldata","createddate"
23,HCP - Stripping,Time (Hour),"12",Hour,false,true,,,90,1,2025-11-12 11:08:54.228 +0700
24,HCP - Stripping,Voltage (V),"",Volt,false,true,,,88,1,2025-11-12 11:08:54.376 +0700
25,HCP - Stripping,Amperage (A),"",Ampere,false,true,,,89,1,2025-11-12 11:08:54.447 +0700
26,HCP - Stripping,Thickness Before 1 (Micron),"",Micron,false,true,,,139,1,2025-11-12 11:08:54.518 +0700
27,HCP - Stripping,Thickness Before 2 (Micron),"",Micron,false,true,,,140,1,2025-11-12 11:08:54.554 +0700
28,HCP - Stripping,Thickness Before 3 (Micron),"",Micron,false,true,,,141,1,2025-11-12 11:08:54.622 +0700
29,HCP - Stripping,Thickness Before 4 (Micron),"",Micron,false,true,,,142,1,2025-11-12 11:08:54.666 +0700
30,HCP - Stripping,Thickness Before 5 (Micron),"",Micron,false,true,,,143,1,2025-11-12 11:08:54.763 +0700
31,HCP - Stripping,Note Stripping,"","",false,false,,,138,1,2025-11-12 11:08:54.880 +0700
32,MACHINING,Process Machining,Finishing,"",true,false,,,16,2,2025-11-12 20:23:09.099 +0700
33,MACHINING,Material Type,Manufacture/Raw Material,"",true,false,,,62,2,2025-11-12 20:23:09.125 +0700
34,MACHINING,Consumable Insert,BA101,"",true,false,,,17,2,2025-11-12 20:23:09.172 +0700
35,MACHINING,Length Machining,"30",mm,false,true,,,20,2,2025-11-12 20:23:09.186 +0700
36,MACHINING,Dimension Before Machining,"152.249",mm,false,true,,,19,2,2025-11-12 20:23:09.214 +0700
37,MACHINING,Dimension After Machining,"152.360",mm,false,true,,,35,2,2025-11-12 20:23:09.230 +0700
38,MACHINING,RPM (Spindle Speed),"95",Rpm,false,true,,,26,2,2025-11-12 20:23:09.243 +0700
39,MACHINING,Feeding,"0.13",mm/rev,false,true,,,30,2,2025-11-12 20:23:09.281 +0700
40,MACHINING,Depth of Cut,"0.1",mm,false,true,,,32,2,2025-11-12 20:23:09.301 +0700
41,MACHINING,Lubrication,Coolant,"",true,false,,,33,2,2025-11-12 20:23:09.318 +0700
42,MACHINING,Condition Material After Machining,On Spec,"",true,false,,,36,2,2025-11-12 20:23:09.338 +0700
43,MACHINING,Operator Note,Hasil machiningan oval,"",false,false,,,49,2,2025-11-12 20:23:09.352 +0700
44,MACHINING,Process Machining,Roughing,"",true,false,,,16,7,2025-11-13 00:38:44.313 +0700
45,MACHINING,Material Type,Welding,"",true,false,,,62,7,2025-11-13 00:38:44.331 +0700
46,MACHINING,Consumable Insert,CCMT 302,"",true,false,,,17,7,2025-11-13 00:38:44.367 +0700
47,MACHINING,Length Machining,"226",mm,false,true,,,20,7,2025-11-13 00:38:44.385 +0700
48,MACHINING,Dimension Before Machining,"176",mm,false,true,,,19,7,2025-11-13 00:38:44.402 +0700
49,MACHINING,Dimension After Machining,"182.35",mm,false,true,,,35,7,2025-11-13 00:38:44.420 +0700
50,MACHINING,RPM (Spindle Speed),"125",Rpm,false,true,,,26,7,2025-11-13 00:38:44.435 +0700
51,MACHINING,Feeding,"0.13",mm/rev,false,true,,,30,7,2025-11-13 00:38:44.464 +0700
52,MACHINING,Depth of Cut,"2",mm,false,true,,,32,7,2025-11-13 00:38:44.475 +0700
53,MACHINING,Lubrication,Dry,"",true,false,,,33,7,2025-11-13 00:38:44.492 +0700
54,MACHINING,Condition Material After Machining,Oval,"",true,false,,,36,7,2025-11-13 00:38:44.509 +0700
55,MACHINING,Operator Note,"","",false,false,,,49,7,2025-11-13 00:38:44.526 +0700
56,MACHINING,Process Machining,Roughing,"",true,false,,,16,8,2025-11-13 00:39:25.251 +0700
57,MACHINING,Material Type,Welding,"",true,false,,,62,8,2025-11-13 00:39:25.267 +0700
58,MACHINING,Consumable Insert,CCMT 302,"",true,false,,,17,8,2025-11-13 00:39:25.298 +0700
59,MACHINING,Length Machining,"226",mm,false,true,,,20,8,2025-11-13 00:39:25.318 +0700
60,MACHINING,Dimension Before Machining,"182.35",mm,false,true,,,19,8,2025-11-13 00:39:25.335 +0700
61,MACHINING,Dimension After Machining,"187",mm,false,true,,,35,8,2025-11-13 00:39:25.349 +0700
62,MACHINING,RPM (Spindle Speed),"125",Rpm,false,true,,,26,8,2025-11-13 00:39:25.369 +0700
63,MACHINING,Feeding,"0.13",mm/rev,false,true,,,30,8,2025-11-13 00:39:25.391 +0700
64,MACHINING,Depth of Cut,"2",mm,false,true,,,32,8,2025-11-13 00:39:25.409 +0700
65,MACHINING,Lubrication,Dry,"",true,false,,,33,8,2025-11-13 00:39:25.425 +0700
66,MACHINING,Condition Material After Machining,Under Size,"",true,false,,,36,8,2025-11-13 00:39:25.442 +0700
67,MACHINING,Operator Note,"","",false,false,,,49,8,2025-11-13 00:39:25.460 +0700
68,MACHINING,Process Machining,Roughing,"",true,false,,,16,9,2025-11-13 01:45:13.676 +0700
69,MACHINING,Material Type,Cast iron,"",true,false,,,62,9,2025-11-13 01:45:13.692 +0700
70,MACHINING,Consumable Insert,BA101,"",true,false,,,17,9,2025-11-13 01:45:13.709 +0700
71,MACHINING,Length Machining,"230",mm,false,true,,,20,9,2025-11-13 01:45:13.727 +0700
