idsow,order_no,operation_no,ssbr_id,part_number,part_name,model,customer,location,wct_group,workcenter,operationtext,workcenterdescription,planhours,systemstatus,confirmation,status,finish_date,codenumber,weight,created_by,type,group,category,remark,sync,plan_start,plan_finish,actual_start,actual_finish,actual_progress,actual_hours
515578,,1,UYE-99,9T-3881,Mantep,test,PT. Cipta Kridatama,Mantep,DIS,,test 1,,0,,,,,1,0,teesan,SINGLE,1,JOB,,,,,,,,
515579,,2,UYE-99,9T-3881,Mantep,test,PT. Cipta Kridatama,Mantep,DIS,M5153CLN,test 2,,1,,,,,2,0,teesan,SINGLE,1,JOB,,,,,,,,
515580,,3,UYE-99,9T-3881,Mantep,test,PT. Cipta Kridatama,Mantep,DIS,M5153CLN,test 3,,2.5,,,,,3,0,teesan,SINGLE,1,JOB,,,,,,,,
515581,,4,UYE-99,9T-3881,Mantep,test,PT. Cipta Kridatama,Mantep,DIS,M5153CLN,test 4,,1,,,,,4,0,teesan,SINGLE,1,JOB,,,,,,,,
515582,,5,UYE-99,9T-3881,Mantep,test,PT. Cipta Kridatama,Mantep,DIS,M5153CLN,test 5,,1,,,,,5,0,teesan,SINGLE,1,JOB,,,,,,,,
515583,,6,UYE-99,9T-3881,Mantep,test,PT. Cipta Kridatama,Mantep,DIS,M5153CLN,test 6,,1,,,,,6,0,teesan,SINGLE,1,JOB,,,,,,,,
515584,,7,UYE-99,9T-3881,Mantep,test,PT. Cipta Kridatama,Mantep,DIS,M5153CLN,test 7,,1,,,,,7,0,teesan,SINGLE,1,JOB,,,,,,,,
515585,,8,UYE-99,9T-3881,Mantep,test,PT. Cipta Kridatama,Mantep,DIS,M5153CLN,test 8,,1,,,,,8,0,teesan,SINGLE,1,JOB,,,,,,,,
515586,,9,UYE-99,9T-3881,Mantep,test,PT. Cipta Kridatama,Mantep,DIS,M5153CLN,test 9,,1,,,,,9,0,teesan,SINGLE,1,JOB,,,,,,,,
515588,,11,UYE-99,9T-3881,Mantep,test,PT. Cipta Kridatama,Mantep,DIS,M5153CLN,test 11,,1,,,,,11,0,teesan,SINGLE,1,JOB,,,,,,,,
515462,1000122217,30,SHCG-441,7J-4083 ,Piston Ripper Lilt Cylinder ,D10T,PT. Cipta Kridatama,BIB,QC2,M5153QC2,Inspection,,1,,,FINISH,12/12/2025,1.00012E+11,0,,,2,,,,,,,,,
514310,320008546,1602,SHSP-559,223-9657,Rod Front Suspension,777,Cipta Kridatama PT.,BIB,WM3,,Welding Crack,,6,,,FINISH,12/9/2025,3.20009E+12,0,,,2,,,,,,,,,
514461,1000122086,100,PROJECT 12,,Project,PO PROJECT PERIODE DECEMBER 2025,PT Sanggar Sarana Baja,Internal Project,HCP2,,Chrome,,1,,,,,1.00012E+12,,,,1,,,,,,,,,
514460,1000122086,90,PROJECT 12,,Project,PO PROJECT PERIODE DECEMBER 2025,PT Sanggar Sarana Baja,Internal Project,HCP1,,Dechrome,,1,,,,,1.00012E+11,,,,1,,,,,,,,,
514455,1000122086,40,PROJECT 12,,Project,PO PROJECT PERIODE DECEMBER 2025,PT Sanggar Sarana Baja,Internal Project,DIS,,Disassembly,,1,,,,,1.00012E+11,,,,1,,,,,,,,,
514454,1000122086,30,PROJECT 12,,Project,PO PROJECT PERIODE DECEMBER 2025,PT Sanggar Sarana Baja,Internal Project,BSW,,Bandsaw,,1,,,,,1.00012E+11,,,,1,,,,,,,,,
514459,1000122086,80,PROJECT 12,,Project,PO PROJECT PERIODE DECEMBER 2025,PT Sanggar Sarana Baja,Internal Project,BST,,Big Spindle Lathe,,1,,,,,1.00012E+11,,,,1,,,,,,,,,
514458,1000122086,70,PROJECT 12,,Project,PO PROJECT PERIODE DECEMBER 2025,PT Sanggar Sarana Baja,Internal Project,SYG,,Turning Lathe 3M,,1,,,,,1.00012E+11,,,,1,,,,,,,,,
514456,1000122086,50,PROJECT 12,,Project,PO PROJECT PERIODE DECEMBER 2025,PT Sanggar Sarana Baja,Internal Project,HB,,Horizontal Bore,,1,,,,,1.00012E+11,,,,1,,,,,,,,,
514453,1000122086,20,PROJECT 12,,Project,PO PROJECT PERIODE DECEMBER 2025,PT Sanggar Sarana Baja,Internal Project,BLS,,Blasting,,1,,,,,1.00012E+11,,,,1,,,,,,,,,
514824,1000121500,200,SHSP-494,,Housing Rear Suspension,773,Cipta Kridatama,Site TIA,HM,,Honing ID Housing,,8,,,FINISH,12/9/2025,1.00012E+12,,,,1,,,,,,,,,
515661,1000122336,20,SFRM-766,310-6112,A Frame,773,Cipta Kridatama PT.,Site BIB,PPC,,Order / manufacture sleeve ,,0,,,,,1.00012E+11,0,,,1,,"AISI 1045 (OD180, L110)",,,,,,,
515665,1000122336,60,SFRM-766,310-6112,A Frame,773,Cipta Kridatama PT.,Site BIB,ASY,,Install Sleeve,,2,,,,,1.00012E+11,0,,,1,,,,,,,,,
515666,1000122336,70,SFRM-766,310-6112,A Frame,773,Cipta Kridatama PT.,Site BIB,WM3,,Weld Joint Sleeve ,,1,,,,,1.00012E+11,0,,,1,,,,,,,,,
515667,1000122336,80,SFRM-766,310-6112,A Frame,773,Cipta Kridatama PT.,Site BIB,WM2,,Weld dent area,,1,,,,,1.00012E+11,0,,,1,,,,,,,,,
515668,1000122336,90,SFRM-766,310-6112,A Frame,773,Cipta Kridatama PT.,Site BIB,WM2,,Remove Broken Bolt,,1,,,,,1.00012E+11,0,,,1,,,,,,,,,
515669,1000122336,100,SFRM-766,310-6112,A Frame,773,Cipta Kridatama PT.,Site BIB,HDR,,Handressing,,1,,,,,1.00012E+12,0,,,1,,,,,,,,,
515670,1000122336,110,SFRM-766,310-6112,A Frame,773,Cipta Kridatama PT.,Site BIB,QC2,,Inspection,,1,,,,,1.00012E+12,0,,,1,,,,,,,,,
