"idrow","plant","workcenterot","condition","categoryhours","groupname","machineid","position","costcenter","costcenter_rate","workcenter_description","workcenternew","workcenterold"
1,5153,M53ASYOT,Good,Man Hour,ASY,ASY,1,,,ASSEMBLY,M5153ASY,M5153ASY
2,5153,M53BSWOT,Good,Man Hour,BSW,BSW,1,,,BANDSAW,M5153BSW,M5153BSW
3,5153,M53PRMOT,Good,Man Hour,BND,BND,1,,,BENDING,M5153PRM1,M5153PRM1
4,5153,M53COROT,Good,Man Hour,COR,COR,1,,,BIG SPINDLE TURNING LATHE,M5153COR,M5153COR
5,5153,M53BLSOT,Good,Man Hour,BLS,BLS,1,,,BLASTING,M5153BLS,M5153BLS
6,5153,M53CP2OT,Good,Man Hour,CP,CP2,1,,,CHROME 1,M5153CP2,M5153CP2
7,5153,M53CP1OT,Good,Man Hour,CP,CP1,1,,,CHROME 2,M5153CP1,M5153CP1
8,5153,M53CP2OT,Good,Man Hour,CP,CP2,1,,,CHROME 3,M5153CP2,M5153CP2
9,5153,M53CLNOT,Good,Man Hour,CLN,CLN,1,,,CLEANING,M5153CLN,M5153CLN
10,5153,M53PM2OT,Good,Man Hour,PRM,PRM2,1,,,CUTTING,M5153PRM2,M5153PRM2
11,5153,M53CP1OT,Good,Man Hour,CP,CP1,2,,,DECHROME,M5153CP1,M5153CP1
12,5153,M53DISOT,Good,Man Hour,DISS,DISS,1,,,DISS ASSEMBLY,M5153DISS,M5153DISS
13,5153,M53WF3OT,Good,Man Hour,WF,WF3,1,,,FCAW FABRIKASI,M5153WF3,M5153WF3
14,5153,M53PM2OT,Good,Man Hour,PRM,PRM2,1,,,FLAME CUTTING & BAND SAW,M5153PRM2,M5153PRM2
15,5153,M53WF3OT,Good,Man Hour,WF,WF3,1,,,GEN WELD FABRIKASI,M5153WF3,M5153WF3
16,5153,M53WM3OT,Good,Man Hour,WM,WM3,1,,,GEN WELD SALVAGING,M5153WM3,M5153WM3
17,5153,M53WF5OT,Good,Man Hour,WF,WF5,1,,,GOUGING,M5153WF5,M5153WF5
18,5153,M53WM2OT,Good,Man Hour,WM,WM2,1,,,GTAW,M5153WM2,M5153WM2
19,5153,M53HDROT,Good,Man Hour,HDR,HDR,2,,,HANDRESSING,M5153HDR,M5153HDR
20,5153,M53HM1OT,Good,Man Hour,HM,HM1,1,,,HONING,M5153HM1,M5153HM1
21,5153,M53CLTOT,Good,Man Hour,CLT,CLT,1,,,HORIZONTAL BORE,M5153CLT,M5153CLT
22,5153,M53WM1OT,Good,Man Hour,WM,WM1,1,,,ID WELD,M5153WM1,M5153WM1
23,5153,M53COROT,Good,Man Hour,COR,COR,1,,,KINWA,M5153COR,M5153COR
24,5153,M53LBPOT,Good,Man Hour,LBP,LBP,1,,,LINE BORING,M5153LBP,M5153LBP
25,5153,M53COROT,Good,Man Hour,COR,COR,1,,,KINWA,M5153COR,M5153COR
26,5153,M53COROT,Good,Man Hour,COR,COR,1,,,MAGNUM 2,M5153COR,M5153COR
27,5153,M53MTSOT,Good,Man Hour,MTS,MTS,1,,,METAL SPRAY,M5153MTS,M5153MTS
28,5153,M53GMLOT,Good,Man Hour,GML,GML,1,,,MILLING MACHINE,M5153GML,M5153GML
29,5153,M53PACOT,Good,Man Hour,PP,PP,1,,,PAINTING PACKING,M5153PAC,M5153PAC
30,5153,M53PL1OT,Good,Man Hour,PL,PL1,1,,,POLISHER 1,M5153PL1,M5153PL1
31,5153,M53PL2OT,Good,Man Hour,PL,PL2,1,,,POLISHER 2,M5153PL2,M5153PL2
32,5153,M53QC2OT,Good,Man Hour,QC,QC2,1,,,POST / FINAL INSPECTION,M5153QC2,M5153QC2
33,5153,M53QC1OT,Good,Man Hour,QC,QC1,1,,,PRE INSPECTION,M5153QC1,M5153QC1
34,5153,M53RD1OT,Good,Man Hour,RD,RD1,1,,,RADIAL DRILL,M5153RD1,M5153RD1
35,5153,M53SW1OT,Good,Man Hour,SW,SW,1,,,SAW,M5153SW1,M5153SW1
36,5153,M53COROT,Good,Man Hour,COR,COR,1,,,SENYANG,M5153COR,M5153COR
37,5153,M53FITOT,Good,Man Hour,FIT,FIT,1,,,SETTING FABRIKASI,M5153FIT,M5153FIT
38,5153,M53WM2OT,Good,Man Hour,WM,WM2,1,,,TIG WELD,M5153WM2,M5153WM2
39,5153,M53COROT,Good,Man Hour,COR,COR,1,,,TURNING LATHE 3M,M5153COR,M5153COR
40,5153,M53VTLOT,Good,Man Hour,VTL,VTL,1,,,VERTICAL LATHE,M5153VTL,M5153VTL
41,5153,M53COROT,Good,Man Hour,COR,COR,1,,,MAGNUM 1,M5153COR,M5153COR
42,5153,M53COROT,Good,Man Hour,COR,COR,1,,,MAGNUM 2,M5153COR,M5153COR
